	Ad Daqahliyah	258	46	7050004
0	Al Bahr al Ahmar	314.0	172.0	403077
1	Al Buhayrah	221.0	62.0	6878289
2	Al Fayyum	232.0	105.0	4080645
3	Al Gharbiyah	247.0	53.0	5439085
4	Al Iskandariyah	207.0	54.0	5546663
5	Al Isma`iliyah	290.0	63.0	1452743
6	Al Jizah	191.0	125.0	9514540
7	Al Minufiyah	244.0	65.0	4736945
8	Al Minya	227.0	144.0	6337595
9	Al Qahirah	264.0	102.0	10248385
10	Al Qalyubiyah	252.0	72.0	6137688
11	Al Uqsur	296.0	230.0	1400640
12	Al Wadi al Jadid	152.0	218.0	266926
13	As Suways	282.0	90.0	792551
14	Ash Sharqiyah	264.0	60.0	7909342
15	Aswan	306.0	254.0	1656218
16	Asyut	262.0	171.0	5061934
17	Bani Suwayf	250.0	119.0	3592039
18	Bur Sa`id	287.0	45.0	791749
19	Dumyat	268.0	34.0	1618239
20	Janub Sina'	329.0	117.0	116479
21	Kafr ash Shaykh	242.0	38.0	3718316
22	Matrouh	122.0	72.0	547702
23	Qina	308.0	217.0	3640916
24	Shamal Sina'	326.0	68.0	508109
25	Suhaj	278.0	196.0	5727271
